City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,hirara,24.8,125.2833,26.15,69,40,4.63,JP,1682308765
282,playa del ingles,27.7567,-15.5787,17.86,82,14,3.39,ES,1682308888
283,borogontsy,62.6683,131.1683,-0.31,83,100,4.66,RU,1682308889
284,lospalos,-8.5186,127.0025,26.34,77,29,5.08,TL,1682308889
285,daru,-9.0763,143.2092,27.89,81,100,1.95,PG,1682308889
286,nikolayevsk-on-amure,53.1406,140.73,4.54,55,43,7.04,RU,1682308890
287,kramfors,62.9316,17.7765,-1.12,93,97,3.45,SE,1682308890
288,fedorovskiy,45.0972,40.9517,11.12,82,100,4.26,RU,1682308890
289,hanceville,34.0607,-86.7675,10.23,56,100,2.49,US,1682308890
290,haicheng,40.8516,122.7475,18.64,10,1,1.48,CN,1682308891
291,togur,58.3631,82.8265,6.25,86,100,5.59,RU,1682308891
292,maceio,-9.6658,-35.7353,25.67,81,100,3.88,BR,1682308891
293,kedrovyy,56.1667,91.8167,9.37,52,98,4.03,RU,1682308891
294,jiazi,22.8779,116.067,24.23,81,100,3.62,CN,1682308892
295,san antonio de pale,-1.4014,5.6325,27.49,78,96,2.86,GQ,1682308892
296,mount pleasant,32.7941,-79.8626,15.0,87,0,0.0,US,1682308892
297,northam,51.0333,-4.2167,8.12,95,16,3.11,GB,1682308892
298,belvedere marittimo,39.6179,15.8617,12.29,68,53,0.92,IT,1682308892
299,brisas de zicatela,15.8369,-97.0419,26.92,81,83,3.65,MX,1682308893
300,cairo,30.0626,31.2497,17.42,88,0,3.09,EG,1682308717
301,kolonia,50.9333,6.95,9.98,74,75,5.14,DE,1682308822
302,fale old settlement,-9.3852,-171.2468,28.88,72,17,1.21,TK,1682308893
303,gladstone,-23.85,151.25,28.21,44,40,9.26,AU,1682308893
304,hounde,11.5,-3.5167,28.59,47,36,3.27,BF,1682308893
305,lieksa,63.3167,30.0167,1.43,99,100,2.75,FI,1682308894
306,east london,-33.0153,27.9116,20.39,53,99,1.87,ZA,1682308894
307,road town,18.4167,-64.6167,26.07,75,70,4.48,VG,1682308894
308,gross kreutz,52.4,12.7833,12.81,82,89,3.95,DE,1682308895
309,as sulayyil,20.4607,45.5779,26.37,47,1,3.35,SA,1682308895
310,cabo san lucas,22.8909,-109.9124,24.73,65,94,5.76,MX,1682308895
311,arica,-18.475,-70.3042,19.78,84,1,0.6,CL,1682308864
312,nguigmi,14.2495,13.1092,27.88,26,28,4.19,NE,1682308895
313,pont rouge,48.8833,-72.0825,5.97,99,100,0.88,CA,1682308895
314,nagqu,31.5,92.0,-1.54,21,98,4.22,CN,1682308896
315,bamboo flat,11.7,92.7167,31.29,61,27,4.05,IN,1682308896
316,brookings,44.3114,-96.7984,1.7,65,33,2.23,US,1682308896
317,nhamunda,-2.1861,-56.7131,23.45,94,99,0.97,BR,1682308896
318,ancud,-41.8697,-73.8203,7.47,88,0,1.31,CL,1682308896
319,grajewo,53.6473,22.4554,10.89,74,63,4.68,PL,1682308897
320,adrar,20.5022,-10.0711,23.73,23,0,3.57,MR,1682308897
321,le moule,16.3332,-61.3473,24.02,74,78,1.26,GP,1682308897
322,klyavlino,54.2649,52.0267,11.7,52,6,2.5,RU,1682308897
323,marrakesh,31.6315,-8.0083,18.04,59,0,1.03,MA,1682308687
324,hammerfest,70.6634,23.6821,-1.75,93,75,2.06,NO,1682308897
325,tortoli,39.9256,9.6572,14.34,73,66,2.41,IT,1682308898
326,fort-shevchenko,44.5086,50.263,17.6,45,100,12.68,KZ,1682308898
327,rongelap,11.1635,166.8941,27.06,81,57,10.03,MH,1682308898
328,myski,53.709,87.8014,10.29,56,100,1.47,RU,1682308714
329,forbes,-33.3833,148.0167,26.07,34,0,2.44,AU,1682308899
330,lorengau,-2.0226,147.2712,29.75,72,88,4.38,PG,1682308900
331,sola,-13.8833,167.55,27.78,74,89,6.24,VU,1682308900
332,kota,25.1833,75.8333,29.61,24,0,2.11,IN,1682308417
333,mitu,1.1983,-70.1733,22.44,99,100,1.2,CO,1682308900
334,gizo,-8.103,156.8419,29.19,72,79,0.72,SB,1682308901
335,kununurra,-15.7667,128.7333,31.99,43,2,3.6,AU,1682308901
336,yichang,30.7144,111.2847,9.79,83,100,0.57,CN,1682308720
337,smithers,54.7804,-127.1743,4.75,95,100,1.14,CA,1682308901
338,bakal,54.9417,58.8083,4.75,72,100,1.53,RU,1682308901
339,tariba,7.8188,-72.2243,19.34,97,90,1.01,VE,1682308902
340,una,20.8167,71.0333,31.31,38,81,3.8,IN,1682308902
341,mangrol,21.1167,70.1167,28.6,58,96,4.07,IN,1682308620
342,kingston,17.997,-76.7936,23.47,91,0,1.57,JM,1682308902
343,port elizabeth,-33.918,25.5701,18.51,96,100,2.45,ZA,1682308903
344,kalabo,-14.97,22.6814,19.96,70,100,2.03,ZM,1682308903
345,fort mcmurray,56.7268,-111.381,6.18,63,100,0.74,CA,1682308903
346,caburan,5.9181,125.6411,29.43,71,58,3.83,PH,1682308903
347,huilong,31.8111,121.655,11.74,78,100,6.46,CN,1682308785
348,jinxiang,27.4327,120.6062,16.84,85,98,3.27,CN,1682308904
349,belle fourche,44.6714,-103.8522,5.24,52,16,3.48,US,1682308904
350,sechura,-5.5569,-80.8222,26.57,75,100,5.66,PE,1682308904
351,coronel suarez,-37.4547,-61.9334,10.6,80,19,1.42,AR,1682308904
352,dar chioukh,34.8964,3.4854,15.54,52,95,2.93,DZ,1682308905
353,aldan,58.6031,125.3894,-2.36,65,100,6.47,RU,1682308905
354,imbituba,-28.24,-48.6703,22.14,88,59,3.04,BR,1682308905
355,cameron,26.117,-97.5169,20.98,78,100,7.72,US,1682308905
356,andratx,39.5755,2.4202,14.97,86,69,2.31,ES,1682308905
357,xiuyan,40.2928,123.2744,17.06,13,45,2.63,CN,1682308905
358,rampachodavaram,17.45,81.7667,30.95,59,39,2.45,IN,1682308906
359,saldanha,-33.0117,17.9442,16.68,97,100,4.28,ZA,1682308906
360,san pedro de ycuamandiyu,-24.0917,-57.0764,17.81,96,0,1.08,PY,1682308906
361,clearlake,38.9582,-122.6264,15.13,84,17,2.6,US,1682308906
362,midvagur,62.0511,-7.1939,2.46,55,100,7.2,FO,1682308907
363,whitehorse,60.7161,-135.0538,3.94,99,100,1.17,CA,1682308907
364,serdar,38.9764,56.2757,22.9,29,91,6.31,TM,1682308907
